,precipitacion,Campaña,mes,Cultivo,idProvincia,idDepartamento,Sup_Sembrada,Sup_Cosechada,Producción,Rendimiento
29,56.2,1987/88,1.0,Alpiste,6,462,50,50.0,50.0,1000.0
30,56.2,1987/88,1.0,Alpiste,6,469,170,160.0,190.0,1188.0
39,56.2,1987/88,1.0,Alpiste,6,686,400,400.0,480.0,1200.0
70,56.2,1987/88,1.0,Avena,6,210,2200,0.0,0.0,0.0
100,56.2,1987/88,1.0,Avena,6,413,3500,300.0,600.0,2000.0
104,56.2,1987/88,1.0,Avena,6,462,5500,0.0,0.0,0.0
105,56.2,1987/88,1.0,Avena,6,469,16500,3000.0,4500.0,1500.0
128,56.2,1987/88,1.0,Avena,6,686,1600,200.0,440.0,2200.0
133,56.2,1987/88,1.0,Avena,6,714,1200,200.0,400.0,2000.0
168,56.2,1987/88,1.0,Cebada cervecera,6,469,1200,1200.0,2280.0,1900.0
185,56.2,1987/88,1.0,Cebada forrajera,6,210,300,0.0,0.0,0.0
199,56.2,1987/88,1.0,Cebada forrajera,6,413,200,0.0,0.0,0.0
201,56.2,1987/88,1.0,Cebada forrajera,6,462,1800,0.0,0.0,0.0
209,56.2,1987/88,1.0,Cebada forrajera,6,686,300,0.0,0.0,0.0
212,56.2,1987/88,1.0,Cebada forrajera,6,714,300,0.0,0.0,0.0
243,56.2,1987/88,1.0,Girasol,6,210,1000,1000.0,2000.0,2000.0
273,56.2,1987/88,1.0,Girasol,6,413,1000,1000.0,1900.0,1900.0
277,56.2,1987/88,1.0,Girasol,6,462,8000,8000.0,10400.0,1300.0
278,56.2,1987/88,1.0,Girasol,6,469,33500,32000.0,57600.0,1800.0
300,56.2,1987/88,1.0,Girasol,6,686,500,500.0,1000.0,2000.0
305,56.2,1987/88,1.0,Girasol,6,714,1000,1000.0,2000.0,2000.0
369,56.2,1987/88,1.0,Lino,6,413,50,50.0,40.0,800.0
373,56.2,1987/88,1.0,Lino,6,469,100,80.0,64.0,800.0
392,56.2,1987/88,1.0,Lino,6,686,50,50.0,60.0,1200.0
395,56.2,1987/88,1.0,Lino,6,714,50,50.0,60.0,1200.0
431,56.2,1987/88,1.0,Maíz,6,210,27000,27000.0,156600.0,5800.0
462,56.2,1987/88,1.0,Maíz,6,413,26000,26000.0,137800.0,5300.0
466,56.2,1987/88,1.0,Maíz,6,462,11000,11000.0,55000.0,5000.0
