Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Sup. Sembrada;Sup. Cosechada;Producción;Rendimiento;Precipitaciones
Girasol;1988/89;BUENOS AIRES;JUNIN;6;413;4500;4500;10400;2311;833
Girasol;1989/90;BUENOS AIRES;JUNIN;6;413;12000;12000;19200;1600;1111
Girasol;1990/91;BUENOS AIRES;JUNIN;6;413;10600;10600;19100;1802;1069
Girasol;1991/92;BUENOS AIRES;JUNIN;6;413;10600;9600;11500;1198;897
Girasol;1992/93;BUENOS AIRES;JUNIN;6;413;9000;9000;10800;1200;1310
Girasol;1993/94;BUENOS AIRES;JUNIN;6;413;3000;3000;6000;2000;812
Girasol;1994/95;BUENOS AIRES;JUNIN;6;413;7000;7000;17500;2500;948
Girasol;1995/96;BUENOS AIRES;JUNIN;6;413;12000;12000;31200;2600;654
Girasol;1996/97;BUENOS AIRES;JUNIN;6;413;10000;10000;20000;2000;1020
Girasol;1997/98;BUENOS AIRES;JUNIN;6;413;5300;5300;8000;1509;987
Girasol;1998/99;BUENOS AIRES;JUNIN;6;413;6500;6500;13000;2000;821
Girasol;1999/00;BUENOS AIRES;JUNIN;6;413;3500;3500;7000;2000;985
Girasol;2000/01;BUENOS AIRES;JUNIN;6;413;2000;2000;2400;1200;1448
Girasol;2001/02;BUENOS AIRES;JUNIN;6;413;500;500;1000;2000;1286
Girasol;2002/03;BUENOS AIRES;JUNIN;6;413;300;300;690;2300;1103
Girasol;2004/05;BUENOS AIRES;JUNIN;6;413;500;500;1300;2600;905
Girasol;2005/06;BUENOS AIRES;JUNIN;6;413;500;500;1400;2800;813
Girasol;2006/07;BUENOS AIRES;JUNIN;6;413;500;500;1200;2400;1237
Girasol;2007/08;BUENOS AIRES;JUNIN;6;413;600;600;2100;3500;794
Girasol;2008/09;BUENOS AIRES;JUNIN;6;413;700;700;1400;2000;521
Girasol;2009/10;BUENOS AIRES;JUNIN;6;413;700;700;1400;2000;1396
Girasol;2010/11;BUENOS AIRES;JUNIN;6;413;800;800;2400;3000;808
Girasol;2011/12;BUENOS AIRES;JUNIN;6;413;900;900;1800;2000;983
Girasol;2012/13;BUENOS AIRES;JUNIN;6;413;1000;1000;2000;2000;1282
Girasol;2013/14;BUENOS AIRES;JUNIN;6;413;1100;1100;2750;2500;1216
