Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Alpiste;1987/88;"BUENOS AIRES";"GENERAL PINTO";6;351;140;130;154;1185
Alpiste;1988/89;"BUENOS AIRES";"GENERAL PINTO";6;351;110;110;160;1455
Alpiste;1989/90;"BUENOS AIRES";"GENERAL PINTO";6;351;100;100;130;1300
Avena;1987/88;"BUENOS AIRES";"GENERAL PINTO";6;351;15000;2500;4250;1700
Avena;1989/90;"BUENOS AIRES";"GENERAL PINTO";6;351;20000;4600;7000;1522
Avena;1992/93;"BUENOS AIRES";"GENERAL PINTO";6;351;10000;1500;2000;1333
Avena;1993/94;"BUENOS AIRES";"GENERAL PINTO";6;351;9000;1350;1400;1037
Avena;1994/95;"BUENOS AIRES";"GENERAL PINTO";6;351;9500;1500;1450;967
Avena;1995/96;"BUENOS AIRES";"GENERAL PINTO";6;351;5000;1000;800;800
Avena;1996/97;"BUENOS AIRES";"GENERAL PINTO";6;351;4000;500;550;1100
Avena;1997/98;"BUENOS AIRES";"GENERAL PINTO";6;351;4000;400;500;1250
Avena;1998/99;"BUENOS AIRES";"GENERAL PINTO";6;351;4000;500;700;1400
Avena;1999/00;"BUENOS AIRES";"GENERAL PINTO";6;351;4000;500;700;1400
Avena;2000/01;"BUENOS AIRES";"GENERAL PINTO";6;351;3000;2200;3960;1800
Avena;2001/02;"BUENOS AIRES";"GENERAL PINTO";6;351;2200;400;480;1200
Avena;2002/03;"BUENOS AIRES";"GENERAL PINTO";6;351;1320;0;0;0
Avena;2003/04;"BUENOS AIRES";"GENERAL PINTO";6;351;1100;100;170;1700
Avena;2004/05;"BUENOS AIRES";"GENERAL PINTO";6;351;2000;400;880;2200
Avena;2005/06;"BUENOS AIRES";"GENERAL PINTO";6;351;1500;500;1250;2500
Avena;2006/07;"BUENOS AIRES";"GENERAL PINTO";6;351;1000;500;1500;3000
Avena;2007/08;"BUENOS AIRES";"GENERAL PINTO";6;351;800;800;2400;3000
Avena;2008/09;"BUENOS AIRES";"GENERAL PINTO";6;351;800;800;960;1200
Avena;2009/10;"BUENOS AIRES";"GENERAL PINTO";6;351;68;68;120;1765
Avena;2010/11;"BUENOS AIRES";"GENERAL PINTO";6;351;100;100;340;3400
Avena;2011/12;"BUENOS AIRES";"GENERAL PINTO";6;351;100;100;250;2500
Avena;2012/13;"BUENOS AIRES";"GENERAL PINTO";6;351;1500;30;70;2333
Avena;2013/14;"BUENOS AIRES";"GENERAL PINTO";6;351;2800;235;590;2511
Avena;2014/15;"BUENOS AIRES";"GENERAL PINTO";6;351;1500;100;300;3000
Avena;2015/16;"BUENOS AIRES";"GENERAL PINTO";6;351;1600;200;620;3100
Avena;2016/17;"BUENOS AIRES";"GENERAL PINTO";6;351;1650;250;750;3000
Avena;2017/18;"BUENOS AIRES";"GENERAL PINTO";6;351;2346;920;2576;2800
Avena;2018/19;"BUENOS AIRES";"GENERAL PINTO";6;351;3900;1600;4880;3050
Avena;2019/20;"BUENOS AIRES";"GENERAL PINTO";6;351;4500;1261;3405;2700
Avena;2020/21;"BUENOS AIRES";"GENERAL PINTO";6;351;4300;1200;3240;2700
Avena;2021/22;"BUENOS AIRES";"GENERAL PINTO";6;351;4300;1100;2640;2400
"Cebada cervecera";1988/89;"BUENOS AIRES";"GENERAL PINTO";6;351;150;150;360;2400
"Cebada cervecera";1989/90;"BUENOS AIRES";"GENERAL PINTO";6;351;400;400;880;2200
"Cebada cervecera";1991/92;"BUENOS AIRES";"GENERAL PINTO";6;351;500;400;900;2250
"Cebada cervecera";1992/93;"BUENOS AIRES";"GENERAL PINTO";6;351;1000;1000;2400;2400
"Cebada cervecera";1993/94;"BUENOS AIRES";"GENERAL PINTO";6;351;1000;1000;3000;3000
"Cebada cervecera";1994/95;"BUENOS AIRES";"GENERAL PINTO";6;351;1000;1000;2600;2600
"Cebada cervecera";1995/96;"BUENOS AIRES";"GENERAL PINTO";6;351;450;450;990;2200
"Cebada cervecera";1996/97;"BUENOS AIRES";"GENERAL PINTO";6;351;500;500;1200;2400
"Cebada cervecera";1997/98;"BUENOS AIRES";"GENERAL PINTO";6;351;500;500;1100;2200
"Cebada cervecera";1998/99;"BUENOS AIRES";"GENERAL PINTO";6;351;500;500;1400;2800
"Cebada cervecera";1999/00;"BUENOS AIRES";"GENERAL PINTO";6;351;450;450;1310;2911
"Cebada cervecera";2000/01;"BUENOS AIRES";"GENERAL PINTO";6;351;500;400;1040;2600
"Cebada cervecera";2001/02;"BUENOS AIRES";"GENERAL PINTO";6;351;500;380;570;1500
"Cebada cervecera";2002/03;"BUENOS AIRES";"GENERAL PINTO";6;351;300;250;450;1800
"Cebada cervecera";2003/04;"BUENOS AIRES";"GENERAL PINTO";6;351;400;380;1140;3000
"Cebada cervecera";2005/06;"BUENOS AIRES";"GENERAL PINTO";6;351;500;500;1400;2800
"Cebada cervecera";2006/07;"BUENOS AIRES";"GENERAL PINTO";6;351;500;500;1650;3300
"Cebada cervecera";2007/08;"BUENOS AIRES";"GENERAL PINTO";6;351;1000;1000;4200;4200
